SettingSet,HumansScalp,HumanCortical,MouseScalp,Column1
Settingset1,1190.548206,40.12573458,21.5636115,1
Settingset2,13126.56974,651.5434037,296.5879541,2
Settingset3,30.61276206,1.00300063,0.682046292,3
Settingset4,1189.248206,58.60260713,23.01759749,4
Settingset5,1306.755385,66.65365639,22.38,5
Settingset6,1672.888796,114.8419958,24.85761859,6
Settingset7,142909.5538,8732.912559,2477.098933,7
Settingset8,148625.936,22096.50706,2780.481326,8
Settingset9,1343.625751,44.76577093,16.41299809,9
Settingset10,1052.493191,31.07372565,23.34542175,10
Settingset11,1123.546896,25.47264457,20.48159453,11
Settingset12,1098.553093,18.19728423,13.35010423,12
Settingset13,29000,180,50.09397175,13
